Title,Author,Price,Rating,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Synopsis,URL
The Daily Stoic,Ryan Holiday,Rs. 1118,N/A,N/A,N/A,Self Improvement And Relationships,404 Pages,320g,9781781257654,English,"Spirituality and Philosophy:, Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:, Self Improvement and Relationships:, History, Biography, and Social Science:","Where can you find joy? What's the true measure of success? How should we manage anger? Find meaning? Conquer grief? The answers to these questions and more lie at the heart of Stoic philosophy. The Daily Stoic is a compelling, accessible guide to living a good life, offering daily doses of this classic wisdom.Long the secret weapon of history's great figures, from emperors to artists and activists to fighter pilots, the principles of Stoicism have shone brightly through the centuries as a philosophy for doers. Tested in the laboratory of human experience over the last two thousand years, this timeless knowledge is essential to navigating the complexities of modern life. The Daily Stoic offers a daily devotional of Stoic insights and exercises, featuring all-new translations from the Emperor Marcus Aurelius, the playwright Seneca, and the slave-turned-philosopher Epictetus, as well as diamonds like Zeno, Cleanthes and Musonius Rufus. On each page, one for every day of the year, you'll find one of their pithy, powerful quotations, as well as historical anecdotes and provocative commentary to help you tackle any problem or approach any goal. By following these teachings over the course of a year (and, indeed, for years to come) you'll find the serenity, self-knowledge, and resilience you need to live well.",https://booksmandala.com/books/the-daily-stoic-29083
Midnights with the Mystic,Sadhguru and,Rs. 478,N/A,N/A,N/A,Self Improvement And Relationships,240 Pages,220g,9788184951660,English,"Self Improvement and Relationships:, Spirituality and Philosophy:, Self Improvement and Relationships:, Spirituality and Philosophy:","A series of intimate conversations with a wise and charismatic guru is a compelling idea. How many times have each of us wished for answers to life’s deep questions? In Midnights with the Mystic, Cheryl Simone relates her personal experience of learning at the feet of Sadhguru Vasudev, India’s most sought-after mystic. As we share in her profound experiences, we are challenged to embrace the possibility that to each of us is available a higher realm of reality, a peak of consciousness, an entrée into the realm of freedom and bliss. “This book lays bare Sadhguru’s mastery over life.” —Indu Jain, Chairperson, Times of India Group",https://booksmandala.com/books/midnights-with-the-mystic-28861
12 Rules for Life,Jordan B. Peterson,Rs. 1118,N/A,N/A,N/A,Self Improvement And Relationships,409 Pages,470g,9780141988511,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:, Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:","Jordan Peterson's work as a clinical psychologist has reshaped the modern understanding of personality, and now he has become one of the world's most popular public thinkers, with his lectures on topics ranging from the Bible to romantic relationships drawing tens of millions of viewers. In an era of polarizing politics, echo chambers and trigger warnings, his startling message about the value of personal responsibility and the dangers of ideology has resonated around the world. In this book, he combines ancient wisdom with decades of experience to provide twelve profound and challenging principles for how to live a meaningful life, from setting your house in order before criticising others to comparing yourself to who you were yesterday, not someone else today. Gripping, thought-provoking and deeply rewarding, 12 Rules for Lifeoffers an antidote to the chaos in our lives- eternal truths applied to our modern problems.",https://booksmandala.com/books/12-rules-for-life-43760
Deep Work,Cal Newport,Rs. 638,N/A,N/A,N/A,Self Improvement And Relationships,304 Pages,230g,9780349413686,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:","Cal Newport discusses in his new book, Deep Work: Rules For Focused Success In A Distracted World, about how professionals of today have started valuing quantity over quality; and how this has turned young professionals of today into puppets who try to indulge in extensive multitasking, dealing with multiple emails and projects. This prevents them from doing 'deep work'; which is focused work free from all other distractions. This also means that the professionals of today should sort out their priorities. Newport uses principles of psychology and neuroscience to enhance his points. He elaborates how to improve a person's cognitive abilities and how employers should encourage workers to not take shortcuts for completing projects. He claims that the best way to break away from the corporate race is to take a break from technology and social media and use some alone-time to rewind and introspect. Newport enforces the beliefs of a non-technophile to deliver work that is productive and efficiently delivered.",https://booksmandala.com/books/deep-work-18141
Karma: A Yogi's Guide to Crafting Your Destiny,Sadhguru,Rs. 478,N/A,N/A,N/A,Self Improvement And Relationships,253 Pages,240g,9780143452676,English,"Self Improvement and Relationships:, Self Improvement and Relationships:","What is karma? Most people understand karma as a balance sheet of good and bad deeds, virtues and sins. The mechanism that decrees that we cannot evade the consequences of our own actions. In reality, karma has nothing to do with reward and punishment. Karma simply means action: your action, your responsibility. It isn't some external system of crime and punishment, but an internal cycle generated by you. Accumulation of karma is determined only by your intention and the way you respond to what is happening to you. Over time, it's possible to become ensnared by your own unconscious patterns of behavior. In Karma, Sadhguru seeks to put you back in the driver's seat, turning you from a terror-struck passenger to a confident driver navigating the course of your own destiny. By living consciously and fully inhabiting each moment, you can free yourself from the cycle. Karma is an exploration and a manual, restoring our understanding of karma to its original potential for freedom and empowerment instead of a source of entanglement. Through Sadhguru's teachings, you will learn how to live intelligently and joyfully in a challenging world.",https://booksmandala.com/books/karma-a-yogis-guide-to-crafting-your-destiny-40369
Think and Grow Rich,Napoleon Hill,Rs. 350,4.0,N/A,N/A,Self Improvement And Relationships,275 Pages,220g,9789937949903,English,"Self Improvement and Relationships:, Business and Investing:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:, Business and Investing:","This edition of the classic best-selling self-help book 'Think and Grow Rich', published by Books Mandala with a beautifully illustrated cover has a compelling design, fits right at your hands and is a pleasure to look at. Think and Grow Rich has earned itself the reputation of being considered a textbook for actionable techniques that can help one get better at doing anything, not just by rich and wealthy, but also by people doing wonderful work in their respective fields. Think and Grow Rich teaches not just concepts but also methods. It is not a book that readers can use for one-time consumption and has to read one chapter at a time and in sequence. The author has formulated hundreds and thousands of answers, into concise principles which when acted upon, many claim, can help one achieve unprecedented success. If you have not read this fantastic masterpiece then you are missing a chance of a lifetime to turn everything around in your favor.",https://booksmandala.com/books/think-and-grow-rich-46899
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness",Ichiro Kishimi,Rs. 880,N/A,N/A,N/A,Self Improvement And Relationships,272 Pages,360g,9781760630720,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:","A single book can change your life. Already an enormous bestseller in Asia, with more than 3 million copies sold, The Courage to be Disliked demonstrates how to unlock the power within yourself to be the person you truly want to be. Using the theories of Alfred Adler, one of the three giants of 19th century psychology alongside Freud and Jung, it follows an illuminating conversation between a philosopher and a young man. The philosopher explains to his pupil how each of us is able to determine our own lives, free of the shackles of past experiences, doubts and the expectations of others. It's a way of thinking that's deeply liberating, allowing us to develop the courage to change, and to ignore the limitations that we and those around us can place on ourselves. The result is a book that is both highly accessible and profound in its importance. Millions have already read and benefited from its wisdom. Now that The Courage to be Disliked has been published for the first time in English, so can you",https://booksmandala.com/books/the-courage-to-be-disliked-how-to-free-yourself-change-your-life-and-achieve-real-happiness-43732
"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,Rs. 958,N/A,N/A,N/A,Self Improvement And Relationships,210 Pages,210g,9780753555194,English,"Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Business and Investing:","Peter Thiel is the co-founder of PayPal and the first outside investor in Facebook. In the Spring of 2012, he gave a lecture course at Stanford for software engineers, calling on them to think boldly and broadly about how they might use their skills to shape the future, and imparting the lessons he has gleaned from his own experience. One of the students in that class - Blake Masters - took notes and posted them online. The blog posts became a huge success, with hundreds of thousands of hits, and became the basis for Zero to One.

We live in an age of technological stagnation, even if we're too distracted by our new mobile devices to notice. Progress has stalled in every industry except computers, and globalization is hardly the revolution people think it is. It's true that the world can get marginally richer by building new copies of old inventions, making horizontal progress from '1 to n'. But true innovators have nothing to copy. The most valuable companies of the future will make vertical progress from '0 to 1', creating entirely new industries and products that have never existed before. Zero to One is about how to build these companies.",https://booksmandala.com/books/zero-to-one-notes-on-startups-or-how-to-build-the-future-68906
11 Rules for Life,Chetan Bhagat,Rs. 400,N/A,N/A,N/A,Self Improvement And Relationships,226 Pages,200g,9789356999978,English,"Self Improvement and Relationships:, Lifestyle and Wellness:, Self Improvement and Relationships:, Lifestyle and Wellness:","In his most personal book yet, Chetan draws on his failures and triumphs, his many conversations with high achievers from all walks of life and over two decades as a celebrated motivational speaker.",https://booksmandala.com/books/11-rules-for-life-71266
Everything I Know about Love,Dolly Alderton,Rs. 958,N/A,Only 7 item left in stock!,N/A,Self Improvement And Relationships,357 Pages,200g,9780241982105,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:","'Alderton is Nora Ephron for the millennial generation' Elizabeth Day 'With courageous honesty, Alderton documents the highs and the lows - the sex, the drugs, the nightmare landlords, the heartaches and the humiliations. Deeply funny, sometimes shocking, and admirably open-hearted and optimistic' Daily Telegraph 'A sensitive, astute and funny account of growing up millennial' Observer 'The book we will thrust into our friends' hands . . . that will help heal a broken heart. Alderton's wise words can resonate with women of all ages. She feels like a best friend and your older sister all rolled into one and her pages wrap around you like a warm hug' Evening Standard 'I loved its truth, self awareness, humour and most of all, its heart-spilling generosity' Sophie Dahl 'Steeped in furiously funny accounts of one-night stands, ill-advised late-night taxi journeys up the M1, grubby flat-shares and the beauty of female friendships, as Alderton joyfully booze-cruises her way through her twenties' Metro 'Alderton proves a razor-sharp observer of the shifting dynamics of long term female friendship' Mail on Sunday 'It's so full of life and laughs - I gobbled up this book. Alderton has built something beautiful and true out of many fragments of daftness' Amy Liptrot",https://booksmandala.com/books/everything-i-know-about-love-50254
Thinking Fast and Slow,Daniel Kahneman,Rs. 1278,N/A,N/A,N/A,Self Improvement And Relationships,499 Pages,390g,9780141033570,English,"Business and Investing:, History, Biography, and Social Science:, Self Improvement and Relationships:, Business and Investing:, History, Biography, and Social Science:, Self Improvement and Relationships:","The phenomenal New York TimesBestseller by Nobel Prize-winner Daniel Kahneman, Thinking Fast and Slowoffers a whole new look at the way our minds work, and how we make decisions. Why is there more chance we'll believe something if it's in a bold type face? Why are judges more likely to deny parole before lunch? Why do we assume a good-looking person will be more competent? The answer lies in the two ways we make choices- fast, intuitive thinking, and slow, rational thinking. This book reveals how our minds are tripped up by error and prejudice (even when we thinkwe are being logical), and gives you practical techniques for slower, smarter thinking. It will enable to you make better decisions at work, at home, and in everything you do. %%%The New York TimesBestseller, acclaimed by author such as Freakonomicsco-author Steven D. Levitt, Black Swanauthor Nassim Nicholas Taleb and Nudgeco-author Richard Thaler, Thinking Fast and Slowoffers a whole new look at the way our minds work, and how we make decisions. Why is there more chance we'll believe something if it's in a bold type face? Why are judges more likely to deny parole before lunch? Why do we assume a good-looking person will be more competent? The answer lies in the two ways we make choices- fast, intuitive thinking, and slow, rational thinking. This book reveals how our minds are tripped up by error and prejudice (even when we thinkwe are being logical), and gives you practical techniques for slower, smarter thinking. It will enable to you make better decisions at work, at home, and in everything you do.",https://booksmandala.com/books/thinking-fast-and-slow-39670
Death : An Inside Story: A book for all those who shall die,Sadhguru,Rs. 478,N/A,N/A,N/A,Self Improvement And Relationships,376 Pages,310g,9780143450832,English,"Self Improvement and Relationships:, Self Improvement and Relationships:","Death is a taboo in most societies in the world. But what if we have got this completely wrong? What if death was not the catastrophe it is made out to be but an essential aspect of life, rife with spiritual possibilities for transcendence? For the first time, someone is saying just that. In this unique treatise-like exposition, Sadhguru dwells extensively upon his inner experience as he expounds on the more profound aspects of death that are rarely spoken about. From a practical standpoint, he elaborates on what preparations one can make for one's death, how best we can assist someone who is dying and how we can continue to support their journey even after death. Whether a believer or not, a devotee or an agnostic, an accomplished seeker or a simpleton, this is truly a book for all those who shall die!",https://booksmandala.com/books/death-an-inside-story-a-book-for-all-those-who-shall-die-8497
Man's Search For Meaning,Viktor E Frankl,Rs. 638,N/A,N/A,N/A,Self Improvement And Relationships,154 Pages,100g,9781846041242,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:","A prominent Viennese psychiatrist before the war, Viktor Frankl was uniquely able to observe the way that he and other inmates coped with the experience of being in Auschwitz. He noticed that it was the men who comforted others and who gave away their last piece of bread who survived the longest - and who offered proof that everything can be taken away from us except the ability to choose our attitude in any given set of circumstances.The sort of person the prisoner became was the result of an inner decision and not of camp influences alone. Only those who allowed their inner hold on their moral and spiritual selves to subside eventually fell victim to the camp's degenerating influence - while those who made a victory of those experiences turned them into an inner triumph.Frankl came to believe that man's deepest desire is to search for meaning and purpose. This outstanding work offers us all a way to transcend suffering and find significance in the art of living.",https://booksmandala.com/books/mans-search-for-meaning-513
Hooked: How to Build Habit-Forming Products,Nir Eyal and,Rs. 1118,N/A,Only 8 item left in stock!,N/A,Self Improvement And Relationships,242 Pages,340g,9780241184837,English,"Business and Investing:, Arts and Photography:, History, Biography, and Social Science:, Business and Investing:, Arts and Photography:, History, Biography, and Social Science:","How do successful companies create products people can't put down? Why do some products capture widespread attention while others flop? What makes us engage with certain things out of sheer habit? Is there an underlying pattern to how technologies hook us? Nir Eyal answers these questions (and many more) with the Hook Model - a four-step process that, when embedded into products, subtly encourages customer behaviour. Through consecutive 'hook cycles,' these products bring people back again and again without depending on costly advertising or aggressive messaging. Hookedis based on Eyal's years of research, consulting, and practical experience. He wrote the book he wished had been available to him as a start-up founder - not abstract theory, but a how-to guide for building better products. Hookedis written for product managers, designers, marketers, start-up founders, and anyone who seeks to understand how products influence our behaviour. Eyal provides readers with practical insights to create user habits that stick; actionable steps for building products people love; and riveting examples from the iPhone to Twitter, Pinterest to the Bible App. 'The most high bandwidth, high octane, and valuable presentation I have ever seen on this subject.' Rory Sutherland, Vice-Chairman, Ogilvy & Mather 'The book everyone in Silicon Valley is talking about.' Boris Veldhuijzen van Zanten, founder of The Next Web 'Hookedgives you the blueprint for the next generation of products. Read Hooked or the company that replaces you will.' Matt Mullenweg, founder of Wordpress 'You'll read this. Then you'll hope your competition isn't reading this. It's that good.' Stephen Anderson, Author of Seductive Interaction Design'An essential crib street for any start-up looking to understand user psychology.' Dave McClure, founder of 500 Starups",https://booksmandala.com/books/hooked-how-to-build-habit-forming-products-32065
8 Rules of Love,Jay Shetty,Rs. 798,N/A,N/A,N/A,Self Improvement And Relationships,309 Pages,280g,9780008602949,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, Self Improvement and Relationships:, Self Improvement and Relationships:","The author of the #1 New York Times bestseller Think Like a Monk offers a revelatory guide to every stage of romance, drawing on ancient wisdom and new science. Nobody sits us down and teaches us how to love. So we’re often thrown into relationships with nothing but romance movies and pop culture to help us muddle through. Until now. Instead of presenting love as an ethereal concept or a collection of cliches, Jay Shetty lays out specific, actionable steps to help you develop the skills to practice and nurture love better than ever before. He shares insights on how to win or lose together, how to define love, and why you don’t break in a break-up. Inspired by Vedic wisdom and modern science, he tackles the entire relationship cycle, from first dates to moving in together to breaking up and starting over. And he shows us how to avoid falling for false promises and unfulfilling partners. By living Jay Shetty’s eight rules, we can all love ourselves, our partner, and the world better than we ever thought possible.",https://booksmandala.com/books/8-rules-of-love-12695
Who Will Cry When You Die?: Life Lessons From The Monk Who Sold His Ferrari,Robin Sharma,Rs. 400,N/A,Only 9 item left in stock!,N/A,Self Improvement And Relationships,256 Pages,200g,9788179922323,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:","Life Lessons From The Monk Who Sold His FerrariDO YOU FEEL that life is slipping by so fast that you might never get the chance to live with the meaning, happiness and joy you know you deserve? If so, then this book will be the guiding light that leads you to a brilliant new way of living. In this easy-to-read yet wisdom-rich manual, the author offers 101 simple solutions to life’s most complex problems, ranging from a little-known method for beating stress and worry to a powerful way to enjoy the journey while you create a legacy that lasts.ROBIN SHARMA is a globally respected humanitarian. Widely considered one of the world’s top leadership and personal optimization advisors, his clients include famed billionaires, professional sports superstars and many Fortune 100 companies. The author’s #1 bestsellers, such as The Monk Who Sold His Ferrari, The Greatness Guide and The Leader Who Had No Title are in over 92 languages, making him one of the most broadly read writers alive today.Go to robinsharma.com for more inspiration + valuable resources to upgrade your life“Robin Sharma’s Following Rivals that of the Dalai Lama.” The Times of India“Global Humanitarian.”CNN  “When you were born, you cried while the world rejoiced. Live your life in such a way that when you die, the world cries while you rejoice.”Ancient Sanskrit Saying",https://booksmandala.com/books/who-will-cry-when-you-die-life-lessons-from-the-monk-who-sold-his-ferrari-10782
Energize Your Mind,Gaur Gopal Das,Rs. 478,5.0,N/A,N/A,Self Improvement And Relationships,309 Pages,250g,9780143442288,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, Self Improvement and Relationships:, Self Improvement and Relationships:","Take charge of your mind. Be in charge of your life. In this book, bestselling author and life coach Gaur Gopal Das decodes how the mind works. He combines his anecdotal style with analytical research to teach us how to discipline our mind for our greater well-being. Throughout this book, he provides interactive exercises, meditation techniques and worksheets to help us take charge of our mind. This book is an essential read for anyone who wants to work towards a better, more fulfilling future for themselves.",https://booksmandala.com/books/energize-your-mind-19043
The Alchemist,Paulo Coelho,Rs. 638,N/A,N/A,N/A,Self Improvement And Relationships,192 Pages,166g,9788172234980,English,"Fiction and Literature:, Fiction and Literature:, Spirituality and Philosophy:, Fiction and Literature:, Fiction and Literature:, Spirituality and Philosophy:","Every Few Decades A Book Is Published That Changes The Lives Of Its Readers Forever. This Is Such A Book A Magical Fable About Learning To Listen To Your Heart, Read The Omens Strewn Along Life'S Path And, Above All, Follow Your Dreams. This Is The Magical Story Of Santiago, An Andalusian Shepherd Boy Who Dreams Of Travelling The World In Search Of A Worldly Treasure As Fabulous As Any Ever Found. From His Home In Spain He Journeys To The Markets Of Tangiers, And From There Into The Egyptian Desert, Where A Fateful Encounter With The Alchemist Awaits Him With Paulo Coelho'S Visionary Blend Of Spirituality, Magical Realism And Folklore, The Alchemist Is A Story With The Power To Inspire Nations And Change People'S Lives.",https://booksmandala.com/books/the-alchemist-37738
Mystic’s Musings,Sadhguru,Rs. 798,N/A,N/A,N/A,Self Improvement And Relationships,528 Pages,530g,9788184959840,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:, Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:"," A compilation of The Mystic Eye and Essential Wisdom from a Spiritual Master.In this book, Sadhguru, a mystic of unfathomable proportions intrigues the reader as he dwells upon life, death, rebirth, suffering, karma and the journey of the Self.In a manner that is candid, audacious and unpretentious, he shatters conventional definitions of morality, religion and spirituality and provokes the reader to delve into spaces that are not for the faint-hearted.“A book for the thirsty. It is a glimpse of an oasis for someone willing to rise above the intellect and move towards the fountainhead of knowing through the wisdom of an enlightened master.”– The Times of India“Meeting Sadhguru has been the defining moment of my life, changing my perspective on how to look at life and its challenges. Mystic’s Musings is a beautiful compilation of some of Sadhguru’s essential wisdom.”– Ravi Venkatesan, Former Chairman, Microsoft India“Mystic’s Musings makes fascinating, thought-provoking, inspiring reading and starts a pilgrimage to the very core of one’s existence.”– D.R. Karthikeyan, Former Director General, Central Bureau of Investigation and National Human Rights CommissionSadhguru is a yogi and profound mystic of our times. An absolute clarity of perception places him in a unique space in not only matters spiritual but in business, environmental and international affairs, and opens a new door on all that he touches.",https://booksmandala.com/books/mystics-musings-43431
The 48 Laws of Power,Robert Greene,Rs. 1598,4.8,N/A,N/A,Self Improvement And Relationships,452 Pages,550g,9781861972781,English,"History, Biography, and Social Science:, Self Improvement and Relationships:, Business and Investing:, History, Biography, and Social Science:, Self Improvement and Relationships:, Business and Investing:","Drawn from 3,000 years of the history of power, this is the definitive guide to help readers achieve for themselves what Queen Elizabeth I, Henry Kissinger, Louis XIV and Machiavelli learnt the hard way. Law 1: Never outshine the master Law 2: Never put too much trust in friends; learn how to use enemies Law 3: Conceal your intentions Law 4: Always say less than necessary. The text is bold and elegant, laid out in black and red throughout and replete with fables and unique word sculptures. The 48 laws are illustrated through the tactics, triumphs and failures of great figures from the past who have wielded - or been victimised by - power.",https://booksmandala.com/books/the-48-laws-of-power-39584
Limitless,Jim Kwik,Rs. 958,5.0,N/A,N/A,Self Improvement And Relationships,318 Pages,505g,9789388302425,English,"Business and Investing:, Business and Investing:","In this book, brain performance expert Jim Kwik will teach readers his core techniques so that they, too, can unleash their inner genius. For the last 25 years, Jim Kwik has helped everyone from celebrities to CEOs to students improve their memory, increase their decision-making skills, learn to speed-read, and unleash their superbrains. In Limitless, readers will learn Jim's revolutionary strategies and shortcuts to supercharging their brains, with simple, actionable tools to sharpen the mind, enhance focus, and fast-track their fullest potential. ""No matter your age, background, or level of education, you can learn new ways to use your brain. If you've been searching for better ways of coping and growing, I'm here to help you fall in love with learning again."" -- Jim Kwik",https://booksmandala.com/books/limitless-22359
Manifest: 7 Steps to Living Your Best Life,Roxie Nafousi,Rs. 880,5.0,N/A,N/A,Self Improvement And Relationships,192 Pages,300g,9780241539590,English,"Self Improvement and Relationships:, Self Improvement and Relationships:","CHANGE YOUR LIFE IN 2023 WITH THE INSTANT SUNDAY TIMES BESTSELLER 'THE MILLENNIAL ANSWER TO THE SECRET' VOGUE'The ultimate queen of manifesting' GLAMOUR UK 'A roadmap for a more positive way of life' FINANCIAL TIMES AS SEEN ON THIS MORNING ________ MANIFEST is the essential guide for anyone and everyone wanting to feel more empowered in their lives. Self-development coach and 'Queen of Manifesting' Roxie Nafousi will show you how in just seven simple steps you can understand the true art of manifestation and learn how to create the life you have always dreamed of. Whether you want to attract your soulmate, find the perfect job or your dream home, or simply discover more inner-peace and confidence, MANIFEST will teach you exactly how to get there in just 7 steps . . . 1. Be clear in your vision 2. Remove fear and doubt 3. Align your behaviour 4. Overcome tests from the universe 5. Embrace gratitude without caveats 6. Turn envy into inspiration 7. Trust in the universe A meeting of science and wisdom, manifesting is a philosophy and a self-development practice to help you reach for your goals, cultivate self-love and live your best life. Unlock the magic for yourself and begin your journey to turning your dreams into reality. ________ 'The face of manifesting in Britain' THE TIMES 'The essential guide to anyone and everyone wanting to feel more empowered in their lives' GLAMOUR UK 'Buy the book, do the work, and watch your life change' ***** Reader Review 'The 'go-to' manifesting handbook' ***** Reader Review",https://booksmandala.com/books/manifest-7-steps-to-living-your-best-life-18608
Home Body,Rupi Kaur,Rs. 798,N/A,Only 6 item left in stock!,N/A,Self Improvement And Relationships,188 Pages,180g,9781471196720,English,"Arts and Photography:, Fiction and Literature:, Self Improvement and Relationships:, Arts and Photography:, Fiction and Literature:, Self Improvement and Relationships:","Rupi Kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present, and the potential of the self. home body is a collection of raw, honest conversations with oneself – reminding readers to fill up on love, acceptance, community, family, and embrace change. Illustrated by the author, themes of nature and nurture, light and dark, rest here. i dive into the well of my body and end up in another world everything i need already exists in me there’s no need to look anywhere else – home",https://booksmandala.com/books/home-body-36259
Maktub,Paulo Coelho,Rs. 798,N/A,N/A,N/A,Self Improvement And Relationships,202 Pages,322g,9780008694647,English,"Self Improvement and Relationships:, Self Improvement and Relationships:","An essential companion to the inspirational classic The Alchemist, filled with timeless stories of reflection and rediscovery.
From one of the greatest writers of our age comes a collection of stories and parables unlocking the mysteries of the human condition. Gathered from Paulo Coelho’s daily column of the same name, Maktub, meaning “it is written,” invites seekers on a journey of faith, self-reflection, and transformation. As Paulo Coelho explains, ‘Maktub is not a book of advice―but an exchange of experiences.’
Each story offers an illuminated path to see life and the lives of our fellow people around the world in new ways, allowing us to tap into universal truths about our collective and individual humanity. As Coelho writes, ‘a man who seeks only the light, while shirking his responsibilities, will never find illumination. And one who keep his eyes fixed upon the sun . . . ends up blind.’ In these wise tales akin to Zen koans and other mysteries of the universe, there are talking snakes, old women climbing mountains, disciples querying their masters, Buddha in dialogue, mysterious hermits, and many saints.",https://booksmandala.com/books/maktub-71292
The Monk Who Sold His Ferrari,Robin Sharma,Rs. 478,N/A,Only 2 item left in stock!,N/A,Self Improvement And Relationships,198 Pages,210g,9788179921623,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:, Self Improvement and Relationships:, History, Biography, and Social Science:, Spirituality and Philosophy:","A Fable About Fulfilling Your Dreams and Reaching Your DestinyTHE BOOK THAT HAS TRANSFORMED MILLIONS OF LIVESThe Monk Who Sold His Ferrari is an inspiring tale that provides a step-by-step approach to expressing your inner genius while you live with greater courage, abundance and joy.A beautifully crafted fable that has become a worldwide classic, this very special book tells the extraordinary story of Julian Mantle, a successful lawyer forced to confront the spiritual crisis of his out-of-balance life. On a remarkable odyssey to an ancient culture hidden deep in the Himalayas, he discovers powerful lessons that will help you:■ Become the most positive person you know and release the past■ Follow your life’s mission and realize your authentic greatness■ Grow in willpower and inner strength so you achieve your dreams■ Multiply your productivity and performance for epic results ■ Access deep happiness and lasting personal peace in these complex times■ Make your mark on the worldROBIN SHARMA is a globally respected humanitarian. Widely considered one of the world’s top leadership and personal optimization advisors, his clients include famed billionaires, professional sports superstars and many Fortune 100 companies. The author’s #1 bestsellers, such as The Monk Who Sold His Ferrari, The Greatness Guide and The Leader Who Had No Title are in over 92 languages, making him one of the most broadly read writers alive today.Go to robinsharma.com for more inspiration + valuable resources to upgrade your life“Robin Sharma’s Following Rivals that of the Dalai Lama.” The Times of India“Global Humanitarian.”CNN“Leadership Legend.” Forbes",https://booksmandala.com/books/the-monk-who-sold-his-ferrari-49004
Inner Engineering A Yogis guide to joy,Sadhguru,Rs. 478,N/A,N/A,N/A,Self Improvement And Relationships,271 Pages,250g,9780143428848,English,"Self Improvement and Relationships:, Spirituality and Philosophy:, Self Improvement and Relationships:, Spirituality and Philosophy:","""In his revolutionary new book, visionary, mystic and yogi Sadhguru distills his own experiences with spirituality and yoga and introduces the transfomational concept of Inner Engineering. Developed by him over several years, this powerful practice serves to align the mind and the body with energies around and within, creating a world of limitless power and possibilities. Inner engineering is your won software for joy and well-being""--Page 4 of cover.",https://booksmandala.com/books/inner-engineering-a-yogis-guide-to-joy-27190
"Good Vibes, Good Life",Vex King,Rs. 798,N/A,N/A,N/A,Self Improvement And Relationships,271 Pages,240g,9789386832832,English,"Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, Self Improvement and Relationships:, History, Biography, and Social Science:","A beautifully designed book full of inspiring quotes and tried-and-tested wisdom on using positivity to create a life you love. How can you learn to truly love yourself? How can you transform negative emotions into positive ones? Is it possible to find lasting happiness? In this book, Instagram guru Vex King answers all of these questions and more. Vex overcame adversity to become a source of hope for thousands of young people, and now draws from his personal experience and his intuitive wisdom to inspire you to: * practice self-care, overcome toxic energy and prioritize your wellbeing * cultivate positive lifestyle habits, including mindfulness and meditation * change your beliefs to invite great opportunities into your life * manifest your goals using tried-and-tested techniques * overcome fear and flow with the Universe * find your higher purpose and become a shining light for others With this book, Vex will show you that when you change the way you think, feel, speak and act, you begin to change the world",https://booksmandala.com/books/good-vibes-good-life-32351
